Title;Author;URL
1 month 210k views and 1500 later the 1 lesson i learned writing on medium;@andre_ye;https://medium.com/@andre_ye/1-month-210k-views-and-1500-later-the-1-lesson-i-learned-writing-on-medium-8eb789883267
10 acronyms that every python programmer should know;@yong.cui01;https://medium.com/@yong.cui01/10-acronyms-that-every-python-programmer-should-know-58008635b5fe
10 algorithms to solve before your python coding interview;@anbento4;https://medium.com/@anbento4/10-algorithms-to-solve-before-your-python-coding-interview-feb74fb9bc27
10 amazing articles on python programming and machine learning week 3;@SeattleDataGuy;https://medium.com/@SeattleDataGuy/10-amazing-articles-on-python-programming-and-machine-learning-week-3-a425a9159bff
10 application centric open data science interview questions you forgot to prepare for;@andre_ye;https://medium.com/@andre_ye/10-application-centric-open-data-science-interview-questions-you-forgot-to-prepare-for-9174417c8af6
10 awesome chrome flags you should enable right now;@thesanjeetc;https://medium.com/@thesanjeetc/10-awesome-chrome-flags-you-should-enable-right-now-2684e4518cb5
10 awesome real world applications of data science and ai;@bharath.k1297;https://medium.com/@bharath.k1297/10-awesome-real-world-applications-of-data-science-and-ai-6fddf3f34d74
10 coding principles that no one will teach you;@sreekiranar;https://medium.com/@sreekiranar/10-coding-principles-that-no-one-will-teach-you-37d64b5081ef
10 cool python project ideas for python developers;@harish_6956;https://medium.com/@harish_6956/10-cool-python-project-ideas-for-python-developers-7953047e203
10 data engineering practices to ensure data and code quality;@anna.anisienia;https://medium.com/@anna.anisienia/10-data-engineering-practices-to-ensure-data-and-code-quality-6224d012d8fb
10 developers you should follow to improve your skills;@spathania08;https://medium.com/@spathania08/10-developers-you-should-follow-to-improve-your-skills-ad58672912d
10 essential github repos for software developers;@sunilsandhu;https://medium.com/@sunilsandhu/10-essential-github-repos-for-software-developers-6a42ebba279
10 examples to master args and kwargs in python;@sonery;https://medium.com/@sonery/10-examples-to-master-args-and-kwargs-in-python-6f1e8cc30749
10 examples to master pandas styler;@sonery;https://medium.com/@sonery/10-examples-to-master-pandas-styler-408ea794e91
10 free software development resources for beginners;@amar;https://medium.com/@amar-desai/10-free-software-development-resources-for-beginners-cb2d0cafbea9
10 habits i borrowed from python that i use in javascript part ii;@patrickdasilva;https://medium.com/@patrickdasilva/10-habits-i-borrowed-from-python-that-i-use-in-javascript-part-ii-53b405d31f1b
10 habits to increase your productivity while working remotely;@harshaktg;https://medium.com/@harshaktg/10-habits-to-increase-your-productivity-while-working-remotely-5c21f7a466be
10 helpful python tips and tricks for beginners;@justintodata;https://medium.com/@justintodata/10-helpful-python-tips-and-tricks-for-beginners-62473d569d0a
10 idiotic ways to refactor your python code;@yong.cui01;https://medium.com/@yong.cui01/10-idiotic-ways-to-refactor-your-python-code-cbb05bb0c820
10 interesting python built in functions operators to put in your toolbox;@andre_ye;https://medium.com/@andre_ye/10-interesting-python-built-in-functions-operators-to-put-in-your-toolbox-6ae2175f415a
10 interesting python tricks to knock your socks off;@siddhesh_jadhav;https://medium.com/@siddhesh_jadhav/10-interesting-python-tricks-to-knock-your-socks-off-1dd4d8e82101
10 invaluable tips tricks for building successful neural networks;@andre_ye;https://medium.com/@andre_ye/10-invaluable-tips-tricks-for-building-successful-neural-networks-566aca17a0f1
10 jupyter lab extensions to boost your productivity;@qiuyujx;https://medium.com/@qiuyujx/10-jupyter-lab-extensions-to-boost-your-productivity-4b3800b7ca2a
10 most popular programming languages for 2020 and beyond;@bharath.k1297;https://medium.com/@bharath.k1297/10-most-popular-programming-languages-for-2020-and-beyond-67c512eeea73
10 neat python tricks and tips beginners should know;@felix.antony;https://medium.com/@felix.antony/10-neat-python-tricks-and-tips-beginners-should-know-805d92649592
10 of my favorite python libraries for data analysis;@emmettgb;https://medium.com/@emmettgb/10-of-my-favorite-python-libraries-for-data-analysis-597e09cca026
10 pro tips for incoming computer science students in 2020;@spencerpauly;https://medium.com/@spencerpauly/10-pro-tips-for-incoming-computer-science-students-in-2020-d115945c7584
10 project based tutorials for learning javascript;@annadaya;https://medium.com/@annadaya/10-project-based-tutorials-for-learning-javascript-b53c6bb00a47
10 python built in functions every data scientist should know;@soneryildirim1988;https://medium.com/@soneryildirim1988/10-python-built-in-functions-every-data-scientist-should-know-233b302abc05
10 python built in functions you should know;@amandaiglesiasmoreno;https://medium.com/@amandaiglesiasmoreno/10-python-built-in-functions-you-should-know-fbd5c879e0ab
10 python file system methods you should know;@jeffhale;https://medium.com/@jeffhale/10-python-file-system-methods-you-should-know-799f90ef13c2
10 python skills they dont teach in bootcamp;@nicolejaneway;https://medium.com/@nicolejaneway/10-python-skills-they-dont-teach-in-bootcamp-419e5e4c4d66
10 really small things that tell you a lot about someones personality;@Chef_BoyarDEJI;https://medium.com/@Chef_BoyarDEJI/10-really-small-things-that-tell-you-a-lot-about-someones-personality-36083e3c6c5e
10 reasons why i recommend svelte to every new web developer;@markushatvan;https://medium.com/@markushatvan/10-reasons-why-i-recommend-svelte-to-every-new-web-developer-8e0e2030b413
10 side hustles to make extra money as a software engineer;@george.af.field;https://medium.com/@george.af.field/10-side-hustles-to-make-extra-money-as-a-software-engineer-a290e66c7ce9
10 step guide to github contributions;@theawesomenayak;https://medium.com/@theawesomenayak/10-step-guide-to-github-contributions-9aeeb38493a8
10 step ultimate guide for machine learning and data science projects;@bharath.k1297;https://medium.com/@bharath.k1297/10-step-ultimate-guide-for-machine-learning-and-data-science-projects-ed61ae9aa301
10 steps to building web applications with accessibility a11y;@jenniferfubook;https://medium.com/@jenniferfubook/10-steps-to-building-web-applications-with-accessibility-a11y-81cd2c1dd499
10 steps to master python for data science;@bharath.k1297;https://medium.com/@bharath.k1297/10-steps-to-master-python-for-data-science-f54199bb328d
10 steps to setup a comprehensive data science workspace with vscode on windows;@gooongna;https://medium.com/@gooongna/10-steps-to-setup-a-comprehensive-data-science-workspace-with-vscode-on-windows-32fe190a8f3
10 surprisingly useful base python functions;@emmettgb;https://medium.com/@emmettgb/10-surprisingly-useful-base-python-functions-822d86972a23
10 things to look for in every code review;@julie_elise;https://medium.com/@julie_elise/10-things-to-look-for-in-every-code-review-3f7fe67ba817
10 things you can do with python strings;@cotra.ak;https://medium.com/@cotra.ak/10-things-you-can-do-with-python-strings-b0517129dd28
10 tips to ramp up new developers;@forestoffbeat;https://medium.com/@forestoffbeat/10-tips-to-ramp-up-new-developers-7623aaf9f827
10 tools i use to craft better python code;@quinn.richard;https://medium.com/@quinn.richard/10-tools-i-use-to-craft-better-python-code-b9a9776a7871
10 unforgivable phrases developers should stop saying at interviews;@eisabai;https://medium.com/@eisabai/10-unforgivable-phrases-developers-should-stop-saying-at-interviews-317fd976716b
10 ways to convert lists to dictionaries in python;@IndhumathyChelliah;https://medium.com/@IndhumathyChelliah/10-ways-to-convert-lists-to-dictionaries-in-python-d2c728d2aeb8
10 ways to stay technical as an engineering manager;@wickedmanok;https://medium.com/@wickedmanok/10-ways-to-stay-technical-as-an-engineering-manager-84a5a7abc038
10 ways to use your developer resume to get interviews;@AndrewStetsenko;https://medium.com/@AndrewStetsenko/10-ways-to-use-your-developer-resume-to-get-interviews-8c9f6d8083b2
1000x faster data augmentation;@arcelien;https://medium.com/@arcelien/1000x-faster-data-augmentation-b91bafee896c
101 funny programmer quotes;@elye;https://medium.com/@elye-project/101-funny-programmer-quotes-76c7f335b92d
101 tips to make you a better developer;@simon.holdorf;https://medium.com/@simon.holdorf/101-tips-to-make-you-a-better-developer-7bb4c3788278
11 essential neural network architectures visualized explained;@andre_ye;https://medium.com/@andre_ye/11-essential-neural-network-architectures-visualized-explained-7fc7da3486d8
11 examples to master python list comprehensions;@soneryildirim1988;https://medium.com/@soneryildirim1988/11-examples-to-master-python-list-comprehensions-33c681b56212
11 most common machine learning algorithms explained in a nutshell;@soneryildirim1988;https://medium.com/@soneryildirim1988/11-most-common-machine-learning-algorithms-explained-in-a-nutshell-cc6e98df93be
12 best youtube channels to learn data science in 2020;@Vivek.Coder;https://medium.com/@Vivek.Coder/12-best-youtube-channels-to-learn-data-science-in-2020-e92a72b4d91c
